ip_address,first_seen_utc,last_seen_utc,counter,as_number,as_name,geolocation
149.36.51.135,2024-01-17 06:17:47,2024-01-17 10:44:28,7578,212238,CDNEXT,DE
37.156.216.142,2024-01-17 06:17:47,2024-01-17 10:44:31,4687,62282,RACKRAY UAB Rakrejus,JP
138.199.31.140,2024-01-17 06:17:47,2024-01-17 10:44:28,7342,212238,CDNEXT,GB
195.181.172.155,2024-01-17 06:17:48,2024-01-17 10:44:28,5003,60068,CDN77 ^_^,NL
138.199.31.147,2024-01-17 06:17:48,2024-01-17 10:44:28,7293,212238,CDNEXT,GB
195.181.172.147,2024-01-17 06:17:48,2024-01-17 10:44:32,5422,60068,CDN77 ^_^,NL
149.36.51.147,2024-01-17 06:17:49,2024-01-17 10:44:27,8244,212238,CDNEXT,DE
149.36.51.150,2024-01-17 06:17:50,2024-01-17 10:44:28,7475,212238,CDNEXT,DE
195.181.172.149,2024-01-17 06:17:52,2024-01-17 10:44:32,5098,60068,CDN77 ^_^,NL
84.17.50.152,2024-01-17 06:17:52,2024-01-17 10:44:23,2984,60068,CDN77 ^_^,GB
84.17.50.142,2024-01-17 06:17:52,2024-01-17 10:44:29,3084,60068,CDN77 ^_^,GB
84.17.50.145,2024-01-17 06:17:52,2024-01-17 10:44:28,3008,60068,CDN77 ^_^,GB
84.17.50.151,2024-01-17 06:17:52,2024-01-17 10:44:04,2961,60068,CDN77 ^_^,GB
45.136.155.236,2024-01-17 06:17:52,2024-01-17 10:44:22,3019,212238,CDNEXT,TR
84.17.50.155,2024-01-17 06:17:53,2024-01-17 10:44:28,3168,60068,CDN77 ^_^,GB
45.136.155.235,2024-01-17 06:17:53,2024-01-17 10:44:27,3086,212238,CDNEXT,TR
84.17.50.140,2024-01-17 06:17:53,2024-01-17 10:44:29,2954,60068,CDN77 ^_^,GB
45.136.155.234,2024-01-17 06:17:53,2024-01-17 10:44:25,2970,212238,CDNEXT,TR
212.102.63.120,2024-01-17 06:17:53,2024-01-17 10:44:28,4253,60068,CDN77 ^_^,GB
84.17.50.141,2024-01-17 06:17:53,2024-01-17 10:44:28,2942,60068,CDN77 ^_^,GB
45.136.155.245,2024-01-17 06:17:53,2024-01-17 10:44:30,2926,212238,CDNEXT,TR
212.102.63.105,2024-01-17 06:17:53,2024-01-17 10:44:28,4104,60068,CDN77 ^_^,GB
45.136.155.233,2024-01-17 06:17:53,2024-01-17 10:44:27,2955,212238,CDNEXT,TR
212.102.63.98,2024-01-17 06:17:53,2024-01-17 10:44:28,4077,60068,CDN77 ^_^,GB
138.199.47.221,2024-01-17 06:17:53,2024-01-17 10:44:30,5242,212238,CDNEXT,FR
45.136.155.243,2024-01-17 06:17:53,2024-01-17 10:44:26,3013,212238,CDNEXT,TR
212.102.63.108,2024-01-17 06:17:53,2024-01-17 10:44:26,4188,60068,CDN77 ^_^,GB
138.199.47.246,2024-01-17 06:17:53,2024-01-17 10:44:16,5057,212238,CDNEXT,FR
138.199.47.233,2024-01-17 06:17:53,2024-01-17 10:44:28,5113,212238,CDNEXT,FR
212.102.63.115,2024-01-17 06:17:53,2024-01-17 10:44:29,4163,60068,CDN77 ^_^,GB
212.102.63.121,2024-01-17 06:17:54,2024-01-17 10:44:29,4225,60068,CDN77 ^_^,GB
138.199.47.222,2024-01-17 06:17:54,2024-01-17 10:44:15,4996,212238,CDNEXT,FR
138.199.47.231,2024-01-17 06:17:54,2024-01-17 10:44:26,4955,212238,CDNEXT,FR
138.199.47.245,2024-01-17 06:17:54,2024-01-17 10:44:25,4871,212238,CDNEXT,FR
138.199.47.235,2024-01-17 06:17:54,2024-01-17 10:44:29,5173,212238,CDNEXT,FR
138.199.31.143,2024-01-17 06:17:54,2024-01-17 10:44:29,7377,212238,CDNEXT,GB
138.199.31.150,2024-01-17 06:17:54,2024-01-17 10:44:30,7191,212238,CDNEXT,GB
138.199.31.138,2024-01-17 06:17:54,2024-01-17 10:44:29,7439,212238,CDNEXT,GB
138.199.31.134,2024-01-17 06:17:54,2024-01-17 10:44:30,7691,212238,CDNEXT,GB
37.156.216.136,2024-01-17 06:17:55,2024-01-17 10:44:30,5000,62282,RACKRAY UAB Rakrejus,JP
138.199.31.149,2024-01-17 06:17:55,2024-01-17 10:44:31,7292,212238,CDNEXT,GB
149.102.229.198,2024-01-17 06:17:55,2024-01-17 10:44:28,4638,212238,CDNEXT,TR
149.102.229.208,2024-01-17 06:17:55,2024-01-17 10:44:21,4443,212238,CDNEXT,TR
138.199.31.154,2024-01-17 06:17:55,2024-01-17 10:44:31,7277,212238,CDNEXT,GB
149.102.229.214,2024-01-17 06:17:55,2024-01-17 10:44:15,4529,212238,CDNEXT,TR
149.102.229.210,2024-01-17 06:17:55,2024-01-17 10:44:19,4602,212238,CDNEXT,TR
138.199.31.144,2024-01-17 06:17:55,2024-01-17 10:44:30,7133,212238,CDNEXT,GB
138.199.31.135,2024-01-17 06:17:55,2024-01-17 10:44:31,7334,212238,CDNEXT,GB
138.199.31.133,2024-01-17 06:17:55,2024-01-17 10:44:29,7270,212238,CDNEXT,GB
149.102.229.209,2024-01-17 06:17:56,2024-01-17 10:44:23,4459,212238,CDNEXT,TR
84.247.116.216,2024-01-17 06:17:56,2024-01-17 08:06:00,14764,12310,INES Bucharest ROMANIA,NL
138.199.31.148,2024-01-17 06:17:57,2024-01-17 10:44:28,7523,212238,CDNEXT,GB
45.133.172.73,2024-01-17 06:17:57,2024-01-17 10:44:30,22269,174,COGENT-174,GB
149.36.51.149,2024-01-17 06:17:57,2024-01-17 10:44:27,7572,212238,CDNEXT,NL
149.36.51.151,2024-01-17 06:17:57,2024-01-17 10:44:31,7443,212238,CDNEXT,DE
138.199.31.152,2024-01-17 06:17:57,2024-01-17 10:44:29,7193,212238,CDNEXT,GB
138.199.31.139,2024-01-17 06:17:57,2024-01-17 10:44:29,7155,212238,CDNEXT,GB
149.36.51.136,2024-01-17 06:17:57,2024-01-17 10:44:25,7481,212238,CDNEXT,DE
45.133.172.23,2024-01-17 06:17:58,2024-01-17 10:43:57,19624,174,COGENT-174,GB
149.36.51.145,2024-01-17 06:17:58,2024-01-17 10:44:27,7401,212238,CDNEXT,DE
45.133.173.10,2024-01-17 06:17:59,2024-01-17 10:44:31,20328,174,COGENT-174,GB
84.17.50.148,2024-01-17 06:17:59,2024-01-17 10:44:28,2981,60068,CDN77 ^_^,GB
84.17.50.134,2024-01-17 06:18:00,2024-01-17 10:44:26,3067,60068,CDN77 ^_^,GB
84.17.50.135,2024-01-17 06:18:00,2024-01-17 10:44:20,2906,60068,CDN77 ^_^,GB
84.17.50.139,2024-01-17 06:18:00,2024-01-17 10:44:29,3033,60068,CDN77 ^_^,GB
84.17.50.133,2024-01-17 06:18:00,2024-01-17 10:44:20,3023,60068,CDN77 ^_^,GB
84.17.50.136,2024-01-17 06:18:00,2024-01-17 10:44:26,3104,60068,CDN77 ^_^,GB
138.199.47.236,2024-01-17 06:18:00,2024-01-17 10:44:26,5086,212238,CDNEXT,FR
138.199.47.225,2024-01-17 06:18:01,2024-01-17 10:44:28,5007,212238,CDNEXT,FR
45.136.155.247,2024-01-17 06:18:01,2024-01-17 10:44:29,3181,212238,CDNEXT,TR
45.136.155.229,2024-01-17 06:18:01,2024-01-17 10:44:26,2934,212238,CDNEXT,TR
138.199.47.237,2024-01-17 06:18:01,2024-01-17 10:44:30,5007,212238,CDNEXT,FR
212.102.63.99,2024-01-17 06:18:01,2024-01-17 10:44:25,4095,60068,CDN77 ^_^,GB
138.199.47.224,2024-01-17 06:18:01,2024-01-17 10:44:29,5073,212238,CDNEXT,FR
45.136.155.240,2024-01-17 06:18:01,2024-01-17 10:44:22,2961,212238,CDNEXT,TR
212.102.63.122,2024-01-17 06:18:01,2024-01-17 10:44:28,4256,60068,CDN77 ^_^,GB
45.136.155.237,2024-01-17 06:18:01,2024-01-17 10:44:24,2864,212238,CDNEXT,TR
212.102.63.119,2024-01-17 06:18:01,2024-01-17 10:44:28,4201,60068,CDN77 ^_^,GB
45.136.155.239,2024-01-17 06:18:01,2024-01-17 10:44:26,3060,212238,CDNEXT,TR
149.102.229.213,2024-01-17 06:18:02,2024-01-17 10:44:23,4565,212238,CDNEXT,TR
149.102.229.217,2024-01-17 06:18:02,2024-01-17 10:44:16,4595,212238,CDNEXT,TR
191.96.168.202,2024-01-17 06:18:02,2024-01-17 08:39:52,13608,174,COGENT-174,NL
138.199.31.151,2024-01-17 06:18:02,2024-01-17 10:44:31,7188,212238,CDNEXT,GB
149.102.229.215,2024-01-17 06:18:02,2024-01-17 10:44:29,4517,212238,CDNEXT,TR
149.102.229.197,2024-01-17 06:18:03,2024-01-17 10:44:23,4300,212238,CDNEXT,TR
149.36.51.133,2024-01-17 06:18:03,2024-01-17 10:44:29,7410,212238,CDNEXT,DE
37.156.216.131,2024-01-17 06:18:03,2024-01-17 10:44:23,5115,62282,RACKRAY UAB Rakrejus,JP
149.102.229.203,2024-01-17 06:18:04,2024-01-17 10:44:22,4304,212238,CDNEXT,TR
149.102.229.195,2024-01-17 06:18:04,2024-01-17 10:44:28,4751,212238,CDNEXT,TR
138.199.31.137,2024-01-17 06:18:05,2024-01-17 10:44:28,7449,212238,CDNEXT,GB
172.233.56.239,2024-01-17 06:18:07,2024-01-17 10:23:45,8584,63949,AKAMAI-LINODE-AP Akamai Connected Cloud,NL
89.149.37.141,2024-01-17 06:18:08,2024-01-17 06:36:07,1795,12310,INES Bucharest ROMANIA,DE
139.162.134.137,2024-01-17 06:18:08,2024-01-17 10:23:46,8037,63949,AKAMAI-LINODE-AP Akamai Connected Cloud,DE
172.233.56.110,2024-01-17 06:18:08,2024-01-17 10:23:45,8856,63949,AKAMAI-LINODE-AP Akamai Connected Cloud,NL
84.17.50.153,2024-01-17 06:18:08,2024-01-17 10:44:28,3040,60068,CDN77 ^_^,GB
172.233.56.218,2024-01-17 06:18:08,2024-01-17 10:23:45,8120,63949,AKAMAI-LINODE-AP Akamai Connected Cloud,NL
45.136.155.238,2024-01-17 06:18:08,2024-01-17 10:44:26,3034,212238,CDNEXT,TR
45.136.155.249,2024-01-17 06:18:08,2024-01-17 10:44:22,2999,212238,CDNEXT,TR
84.17.50.144,2024-01-17 06:18:08,2024-01-17 10:44:27,3030,60068,CDN77 ^_^,GB
85.90.247.103,2024-01-17 06:18:08,2024-01-17 10:23:45,7763,63949,AKAMAI-LINODE-AP Akamai Connected Cloud,DE
139.162.178.7,2024-01-17 06:18:08,2024-01-17 10:23:47,8278,63949,AKAMAI-LINODE-AP Akamai Connected Cloud,DE
45.136.155.251,2024-01-17 06:18:08,2024-01-17 10:44:29,3013,212238,CDNEXT,TR
172.104.156.70,2024-01-17 06:18:08,2024-01-17 10:23:45,8551,63949,AKAMAI-LINODE-AP Akamai Connected Cloud,DE
45.136.155.246,2024-01-17 06:18:08,2024-01-17 10:44:30,3114,212238,CDNEXT,TR
172.233.56.123,2024-01-17 06:18:08,2024-01-17 10:23:45,7675,63949,AKAMAI-LINODE-AP Akamai Connected Cloud,NL
172.233.56.159,2024-01-17 06:18:08,2024-01-17 10:23:45,8002,63949,AKAMAI-LINODE-AP Akamai Connected Cloud,NL
45.136.155.242,2024-01-17 06:18:09,2024-01-17 10:44:27,2935,212238,CDNEXT,TR
138.199.47.241,2024-01-17 06:18:09,2024-01-17 10:44:15,4921,212238,CDNEXT,FR
85.90.247.71,2024-01-17 06:18:09,2024-01-17 10:23:45,8302,63949,AKAMAI-LINODE-AP Akamai Connected Cloud,DE
138.199.47.238,2024-01-17 06:18:09,2024-01-17 10:44:28,4979,212238,CDNEXT,FR
138.199.47.230,2024-01-17 06:18:09,2024-01-17 10:44:20,4844,212238,CDNEXT,FR
138.199.47.228,2024-01-17 06:18:09,2024-01-17 10:44:28,5084,212238,CDNEXT,FR
138.199.47.232,2024-01-17 06:18:09,2024-01-17 10:44:11,5169,212238,CDNEXT,FR
149.102.229.205,2024-01-17 06:18:10,2024-01-17 10:44:28,4412,212238,CDNEXT,TR
212.102.63.109,2024-01-17 06:18:11,2024-01-17 10:44:12,4284,60068,CDN77 ^_^,GB
212.102.63.96,2024-01-17 06:18:11,2024-01-17 10:44:29,4242,60068,CDN77 ^_^,GB
212.102.63.103,2024-01-17 06:18:11,2024-01-17 10:44:28,4241,60068,CDN77 ^_^,GB
212.102.63.104,2024-01-17 06:18:12,2024-01-17 10:44:29,4127,60068,CDN77 ^_^,GB
149.102.229.219,2024-01-17 06:18:12,2024-01-17 10:44:08,4500,212238,CDNEXT,TR
212.102.63.100,2024-01-17 06:18:13,2024-01-17 10:44:18,4293,60068,CDN77 ^_^,GB
212.102.63.102,2024-01-17 06:18:13,2024-01-17 10:44:23,4209,60068,CDN77 ^_^,GB
149.36.51.155,2024-01-17 06:18:13,2024-01-17 10:44:25,7518,212238,CDNEXT,DE
138.199.31.146,2024-01-17 06:18:13,2024-01-17 10:44:29,7351,212238,CDNEXT,GB
138.199.31.141,2024-01-17 06:18:13,2024-01-17 10:44:30,7488,212238,CDNEXT,GB
149.36.51.132,2024-01-17 06:18:13,2024-01-17 10:44:28,7672,212238,CDNEXT,DE
84.17.50.143,2024-01-17 06:18:16,2024-01-17 10:44:26,3116,60068,CDN77 ^_^,GB
84.17.50.150,2024-01-17 06:18:16,2024-01-17 10:44:29,2983,60068,CDN77 ^_^,GB
138.199.47.226,2024-01-17 06:18:17,2024-01-17 10:44:28,4941,212238,CDNEXT,FR
212.102.63.97,2024-01-17 06:18:18,2024-01-17 10:44:28,4165,60068,CDN77 ^_^,GB
212.102.63.118,2024-01-17 06:18:18,2024-01-17 10:44:26,4181,60068,CDN77 ^_^,GB
212.102.63.110,2024-01-17 06:18:18,2024-01-17 10:44:25,4083,60068,CDN77 ^_^,GB
194.110.13.46,2024-01-17 06:18:19,2024-01-17 10:44:30,13804,174,COGENT-174,GB
45.136.155.244,2024-01-17 06:18:19,2024-01-17 10:44:26,3060,212238,CDNEXT,TR
45.136.155.232,2024-01-17 06:18:19,2024-01-17 10:44:29,3131,212238,CDNEXT,TR
45.136.155.241,2024-01-17 06:18:19,2024-01-17 10:44:29,3150,212238,CDNEXT,TR
45.136.155.231,2024-01-17 06:18:20,2024-01-17 10:44:26,3110,212238,CDNEXT,TR
212.102.63.111,2024-01-17 06:18:20,2024-01-17 10:44:29,4333,60068,CDN77 ^_^,GB
84.17.50.146,2024-01-17 06:18:23,2024-01-17 10:44:11,3039,60068,CDN77 ^_^,GB
84.17.50.154,2024-01-17 06:18:23,2024-01-17 10:44:06,3084,60068,CDN77 ^_^,GB
138.199.47.243,2024-01-17 06:18:25,2024-01-17 10:44:25,5015,212238,CDNEXT,FR
138.199.47.239,2024-01-17 06:18:25,2024-01-17 10:44:28,4994,212238,CDNEXT,FR
138.199.47.229,2024-01-17 06:18:25,2024-01-17 10:44:28,5046,212238,CDNEXT,FR
212.102.59.205,2024-01-17 06:18:30,2024-01-17 10:44:22,8429,60068,CDN77 ^_^,US
45.88.97.17,2024-01-17 06:18:31,2024-01-17 06:40:49,2513,174,COGENT-174,DE
45.87.212.93,2024-01-17 06:18:32,2024-01-17 10:44:29,5047,9009,M247,DE
45.87.212.91,2024-01-17 06:18:33,2024-01-17 10:44:29,5007,9009,M247,DE
45.87.212.89,2024-01-17 06:18:33,2024-01-17 10:44:31,5201,9009,M247,DE
45.87.212.86,2024-01-17 06:18:33,2024-01-17 10:44:27,5157,9009,M247,DE
45.87.212.90,2024-01-17 06:18:33,2024-01-17 10:44:31,5074,9009,M247,DE
138.199.47.244,2024-01-17 06:18:33,2024-01-17 10:44:23,5118,212238,CDNEXT,FR
45.88.97.26,2024-01-17 06:18:33,2024-01-17 06:33:33,1364,174,COGENT-174,DE
45.136.155.227,2024-01-17 06:18:34,2024-01-17 10:44:29,3197,212238,CDNEXT,TR
45.87.212.87,2024-01-17 06:18:34,2024-01-17 10:44:28,4972,9009,M247,DE
45.87.212.94,2024-01-17 06:18:34,2024-01-17 10:44:29,5082,9009,M247,DE
146.70.81.152,2024-01-17 06:18:34,2024-01-17 10:43:52,1729,9009,M247,AT
146.70.81.155,2024-01-17 06:18:34,2024-01-17 10:43:53,1746,9009,M247,AT
146.70.81.149,2024-01-17 06:18:34,2024-01-17 10:43:53,1855,9009,M247,AT
146.70.81.154,2024-01-17 06:18:34,2024-01-17 10:43:52,1784,9009,M247,AT
146.70.81.156,2024-01-17 06:18:34,2024-01-17 10:43:53,1861,9009,M247,AT
146.70.81.157,2024-01-17 06:18:34,2024-01-17 10:43:53,1768,9009,M247,AT
146.70.81.147,2024-01-17 06:18:34,2024-01-17 10:43:53,1852,9009,M247,AT
146.70.81.150,2024-01-17 06:18:35,2024-01-17 10:43:52,1737,9009,M247,AT
146.70.81.151,2024-01-17 06:18:35,2024-01-17 10:43:53,1789,9009,M247,AT
45.87.212.92,2024-01-17 06:18:35,2024-01-17 10:44:31,5327,9009,M247,DE
84.17.50.147,2024-01-17 06:18:36,2024-01-17 10:44:26,3021,60068,CDN77 ^_^,GB
45.87.212.71,2024-01-17 06:18:37,2024-01-17 10:44:18,4834,9009,M247,DE
45.87.212.76,2024-01-17 06:18:37,2024-01-17 10:44:18,5034,9009,M247,DE
146.70.81.153,2024-01-17 06:18:37,2024-01-17 10:43:53,1787,9009,M247,AT
45.87.212.70,2024-01-17 06:18:37,2024-01-17 10:44:18,4947,9009,M247,DE
45.87.212.73,2024-01-17 06:18:37,2024-01-17 10:44:15,4766,9009,M247,DE
45.87.212.78,2024-01-17 06:18:37,2024-01-17 10:44:15,4852,9009,M247,DE
212.102.63.114,2024-01-17 06:18:38,2024-01-17 10:44:30,4146,60068,CDN77 ^_^,GB
45.87.212.77,2024-01-17 06:18:39,2024-01-17 10:44:18,4649,9009,M247,DE
45.136.155.250,2024-01-17 06:18:39,2024-01-17 10:44:25,3096,212238,CDNEXT,TR
45.87.212.88,2024-01-17 06:18:39,2024-01-17 10:44:31,5114,9009,M247,DE
45.87.212.74,2024-01-17 06:18:39,2024-01-17 10:44:15,4741,9009,M247,DE
89.149.17.82,2024-01-17 06:18:39,2024-01-17 10:44:25,11548,12310,INES Bucharest ROMANIA,CA
45.87.212.75,2024-01-17 06:18:39,2024-01-17 10:44:18,4898,9009,M247,DE
45.87.212.72,2024-01-17 06:18:40,2024-01-17 10:44:15,4823,9009,M247,DE
84.17.50.149,2024-01-17 06:18:43,2024-01-17 10:44:29,3109,60068,CDN77 ^_^,GB
45.136.155.226,2024-01-17 06:18:44,2024-01-17 10:44:27,3201,212238,CDNEXT,TR
45.136.155.248,2024-01-17 06:18:45,2024-01-17 10:44:26,2968,212238,CDNEXT,TR
216.24.213.12,2024-01-17 06:18:45,2024-01-17 10:43:34,8279,174,COGENT-174,DE
45.133.172.14,2024-01-17 06:18:49,2024-01-17 10:44:31,19372,174,COGENT-174,GB
84.17.50.138,2024-01-17 06:18:52,2024-01-17 10:44:29,3018,60068,CDN77 ^_^,GB
45.136.155.228,2024-01-17 06:18:53,2024-01-17 10:44:27,3093,212238,CDNEXT,TR
45.88.97.241,2024-01-17 06:18:58,2024-01-17 06:36:32,680,174,COGENT-174,DE
146.70.105.48,2024-01-17 06:19:00,2024-01-17 10:44:27,917,9009,M247,FR
193.239.84.58,2024-01-17 06:19:00,2024-01-17 10:44:28,19635,9009,M247,GB
146.70.105.56,2024-01-17 06:19:00,2024-01-17 10:44:20,936,9009,M247,FR
146.70.105.50,2024-01-17 06:19:00,2024-01-17 10:44:18,921,9009,M247,FR
146.70.105.49,2024-01-17 06:19:00,2024-01-17 10:44:25,950,9009,M247,FR
146.70.105.38,2024-01-17 06:19:00,2024-01-17 10:44:23,939,9009,M247,FR
146.70.105.51,2024-01-17 06:19:00,2024-01-17 10:44:11,927,9009,M247,FR
146.70.105.46,2024-01-17 06:19:01,2024-01-17 10:44:27,941,9009,M247,FR
138.199.47.240,2024-01-17 06:19:01,2024-01-17 10:44:26,4798,212238,CDNEXT,FR
146.70.105.44,2024-01-17 06:19:01,2024-01-17 10:44:30,908,9009,M247,FR
146.70.105.52,2024-01-17 06:19:01,2024-01-17 10:44:09,925,9009,M247,FR
146.70.105.36,2024-01-17 06:19:02,2024-01-17 10:44:07,947,9009,M247,FR
146.70.105.58,2024-01-17 06:19:02,2024-01-17 10:44:29,962,9009,M247,FR
146.70.105.60,2024-01-17 06:19:02,2024-01-17 10:44:25,925,9009,M247,FR
45.133.172.203,2024-01-17 06:19:03,2024-01-17 10:44:18,13472,174,COGENT-174,GB
146.70.105.61,2024-01-17 06:19:03,2024-01-17 10:44:22,940,9009,M247,FR
45.133.172.70,2024-01-17 06:19:03,2024-01-17 10:44:31,30865,174,COGENT-174,GB
146.70.105.42,2024-01-17 06:19:04,2024-01-17 10:44:25,959,9009,M247,FR
146.70.105.59,2024-01-17 06:19:05,2024-01-17 10:44:29,938,9009,M247,FR
